=== LOGIN + ENTER PLOT FLOW ===
File: c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
Total packets: 12615
CMSG_PLAYER_LOGIN   @idx 419
SMSG_LOGIN_VERIFY_WORLD @idx 5393
SMSG_HOUSING_HOUSE_STATUS_RESPONSE @idx 6450
Dumping packets [0..6500]

[  302] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  303] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  304] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  305] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  306] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  307] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  308] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  309] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  310] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  311] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  312] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  313] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  314] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  315] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  316] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  317] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  318] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  319] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  320] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  321] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  322] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  323] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
[  324] t=4790098380707792069 SMSG 0x00460000 size=    37 unk_0x00460000
[  325] t=4790098380707792069 SMSG 0x00460000 size=    21 unk_0x00460000
